"";"County Name";"Population"
"479";"Aransas";"27699"
"480";"Aransas";"27699"
"481";"Aransas";"27699"
"482";"Aransas";"27699"
"483";"Aransas";"27699"
"484";"Aransas";"27699"
"485";"Aransas";"27699"
"486";"Aransas";"27699"
"487";"Aransas";"27699"
"488";"Aransas";"27699"
"489";"Aransas";"27699"
"490";"Aransas";"27699"
"491";"Aransas";"27699"
"492";"Aransas";"27699"
"493";"Aransas";"27699"
"494";"Aransas";"27699"
"495";"Aransas";"27699"
"496";"Aransas";"27699"
"497";"Aransas";"27699"
"498";"Aransas";"27699"
"499";"Aransas";"27699"
"500";"Aransas";"27699"
"501";"Aransas";"27699"
"502";"Aransas";"27699"
"503";"Aransas";"27699"
"504";"Aransas";"27699"
"505";"Aransas";"27699"
"506";"Aransas";"27699"
"507";"Aransas";"27699"
"508";"Aransas";"27699"
"509";"Aransas";"27699"
"510";"Aransas";"27699"
"511";"Aransas";"27699"
"512";"Aransas";"27699"
"513";"Aransas";"27699"
"514";"Aransas";"27699"
"515";"Aransas";"27699"
"516";"Aransas";"27699"
"517";"Aransas";"27699"
"518";"Aransas";"27699"
"519";"Aransas";"27699"
"520";"Aransas";"27699"
"521";"Aransas";"27699"
"522";"Aransas";"27699"
"523";"Aransas";"27699"
"524";"Aransas";"27699"
"525";"Aransas";"27699"
"526";"Aransas";"27699"
"527";"Aransas";"27699"
"528";"Aransas";"27699"
"529";"Aransas";"27699"
"530";"Aransas";"27699"
"531";"Aransas";"27699"
"532";"Aransas";"27699"
"533";"Aransas";"27699"
"534";"Aransas";"27699"
"535";"Aransas";"27699"
"536";"Aransas";"27699"
"537";"Aransas";"27699"
"538";"Aransas";"27699"
"539";"Aransas";"27699"
"540";"Aransas";"27699"
"541";"Aransas";"27699"
"542";"Aransas";"27699"
"543";"Aransas";"27699"
"544";"Aransas";"27699"
"545";"Aransas";"27699"
"546";"Aransas";"27699"
"547";"Aransas";"27699"
"548";"Aransas";"27699"
"549";"Archer";"8344"
"550";"Archer";"8344"
"551";"Archer";"8344"
"552";"Archer";"8344"
"553";"Archer";"8344"
"554";"Archer";"8344"
"555";"Archer";"8344"
"556";"Archer";"8344"
"557";"Archer";"8344"
"558";"Archer";"8344"
"559";"Archer";"8344"
"560";"Archer";"8344"
"561";"Archer";"8344"
"562";"Archer";"8344"
"563";"Archer";"8344"
"564";"Archer";"8344"
"565";"Archer";"8344"
"566";"Archer";"8344"
"567";"Archer";"8344"
"568";"Archer";"8344"
"569";"Archer";"8344"
"570";"Archer";"8344"
"571";"Archer";"8344"
"572";"Archer";"8344"
"573";"Archer";"8344"
"574";"Archer";"8344"
"575";"Archer";"8344"
"576";"Archer";"8344"
"577";"Archer";"8344"
"578";"Archer";"8344"
"579";"Archer";"8344"
"580";"Archer";"8344"
"581";"Archer";"8344"
"582";"Archer";"8344"
"583";"Archer";"8344"
"584";"Archer";"8344"
"585";"Archer";"8344"
"586";"Archer";"8344"
"587";"Archer";"8344"
"588";"Archer";"8344"
"589";"Archer";"8344"
"590";"Archer";"8344"
"591";"Archer";"8344"
"592";"Archer";"8344"
"593";"Archer";"8344"
"594";"Archer";"8344"
"595";"Archer";"8344"
"596";"Archer";"8344"
"597";"Archer";"8344"
"598";"Archer";"8344"
"599";"Archer";"8344"
"600";"Archer";"8344"
"601";"Archer";"8344"
"602";"Archer";"8344"
"603";"Archer";"8344"
"604";"Archer";"8344"
"605";"Archer";"8344"
"606";"Archer";"8344"
"607";"Archer";"8344"
"608";"Archer";"8344"
"609";"Archer";"8344"
"610";"Archer";"8344"
"611";"Archer";"8344"
"612";"Archer";"8344"
"613";"Archer";"8344"
"614";"Archer";"8344"
"615";"Archer";"8344"
"616";"Archer";"8344"
"617";"Archer";"8344"
"618";"Archer";"8344"
"619";"Archer";"8344"
"620";"Archer";"8344"
"621";"Archer";"8344"
"622";"Archer";"8344"
"623";"Archer";"8344"
"624";"Archer";"8344"
"625";"Archer";"8344"
"626";"Archer";"8344"
"627";"Archer";"8344"
"628";"Archer";"8344"
"629";"Archer";"8344"
"630";"Archer";"8344"
"631";"Archer";"8344"
"632";"Archer";"8344"
"633";"Archer";"8344"
"634";"Archer";"8344"
"635";"Archer";"8344"
"636";"Archer";"8344"
"637";"Archer";"8344"
